longitude,latitude,elevation,StationID,Power,Quality,num_measures,recorded_tstamp,CodePrefix,CodeValue,JSON
-123.121254,49.271863,9,30278,-34.5182,-21.9832,1,12/1/2011 21:32,ABC,398511480,"{ ""StationID"" : ""30278"", ""Power"" : ""-34.5182"", ""Quality"" : ""-21.9832"" }"
-123.179618,49.265132,20,35323,-112.753,-21.4013,1,12/5/2011 18:52,ABD,282503935,"{ ""StationID"" : ""35323"", ""Power"" : ""-112.7530"", ""Quality"" : ""-21.4013"" }"
-123.07764,49.27404,6,43527,-73.1552,-19.5345,1,12/2/2011 19:06,ABD,91394602,"{ ""StationID"" : ""43527"", ""Power"" : ""-73.1552"", ""Quality"" : ""-19.5345"" }"
-123.084118,49.269299,7,31967,-66.4334,-11.4114,3,12/3/2011 1:01,ABC,126057674,"{ ""StationID"" : ""31967"", ""Power"" : ""-66.4334"", ""Quality"" : ""-11.4114"" }"
-123.104365,49.280995,8,36963,-77.2457,-9.202,1,12/4/2011 0:22,ABD,568473,"{ ""StationID"" : ""36963"", ""Power"" : ""-77.2457"", ""Quality"" : ""-9.2020"" }"
-123.094896,49.276675,10,5256,-43.8768,-13.9121,11,12/4/2011 0:17,ABD,38139770,"{ ""StationID"" : ""5256"", ""Power"" : ""-43.8768"", ""Quality"" : ""-13.9121"" }"
-123.120073,49.257472,55,31916,-61.4682,-15.8718,4,12/4/2011 20:13,ABC,52506367,"{ ""StationID"" : ""31916"", ""Power"" : ""-61.4682"", ""Quality"" : ""-15.8718"" }"
-123.174013,49.263165,21,35977,-79.4928,-13.5934,1,12/4/2011 0:40,ABD,406326057,"{ ""StationID"" : ""35977"", ""Power"" : ""-79.4928"", ""Quality"" : ""-13.5934"" }"
-123.095813,49.259327,54,929,-70.322,-17.2003,2,12/5/2011 18:11,ABC,70772272,"{ ""StationID"" : ""929"", ""Power"" : ""-70.3220"", ""Quality"" : ""-17.2003"" }"
-123.113107,49.257677,53,36317,-54.3742,-11.8967,12,12/1/2011 22:39,ABE,304502856,"{ ""StationID"" : ""36317"", ""Power"" : ""-54.3742"", ""Quality"" : ""-11.8967"" }"
-123.145711,49.264983,35,31548,-56.6233,-17.2989,1,12/1/2011 20:12,ABC,189572953,"{ ""StationID"" : ""31548"", ""Power"" : ""-56.6233"", ""Quality"" : ""-17.2989"" }"
-123.127494,49.285664,41,32315,-70.4819,-19.1472,5,12/3/2011 1:05,ABC,426423804,"{ ""StationID"" : ""32315"", ""Power"" : ""-70.4819"", ""Quality"" : ""-19.1472"" }"
-123.152523,49.269009,29,30976,-59.6805,-20.3938,1,12/5/2011 20:28,ABC,133281907,"{ ""StationID"" : ""30976"", ""Power"" : ""-59.6805"", ""Quality"" : ""-20.3938"" }"
-123.149003,49.259078,49,35486,-78.042,-20.3448,1,12/4/2011 16:23,ABD,218501583,"{ ""StationID"" : ""35486"", ""Power"" : ""-78.0420"", ""Quality"" : ""-20.3448"" }"
-123.080789,49.2697,7,37057,-67.7658,-6.1121,3,12/3/2011 14:53,ABD,105622358,"{ ""StationID"" : ""37057"", ""Power"" : ""-67.7658"", ""Quality"" : ""-6.1121"" }"
-123.134973,49.278652,20,286,-67.6896,-16.8186,3,12/6/2011 1:34,ABC,302963067,"{ ""StationID"" : ""286"", ""Power"" : ""-67.6896"", ""Quality"" : ""-16.8186"" }"
